reviewer,type,id,adaptability,completeness,relevance,clarity,accuracy,weighted_average
Wang,json,json_1,2,2,4,5,4,3.5
Wang,json,json_2,2,3,4,5,4,3.65
Wang,json,json_3,1,1,3,4,3,2.5
Wang,json,json_4,1,2,3,4,4,2.85
Wang,json,json_5,3,4,3,5,4,3.75
Wang,json,json_6,3,3,4,4,4,3.65
Wang,json,json_7,2,2,4,5,3,3.3
Wang,json,json_8,3,3,5,4,4,3.9
Wang,json,json_9,2,2,4,3,3,2.9
Wang,json,json_10,1,2,4,4,3,2.9
Wang,json,json_11,2,4,3,3,4,3.15
Wang,json,json_12,3,3,5,4,4,3.9
Wang,json,json_13,2,2,5,4,4,3.55
Wang,json,json_14,3,3,5,5,4,4.1
Wang,json,json_15,1,3,4,5,3,3.25
Wang,json,json_16,1,4,4,5,3,3.4
Wang,json,json_17,2,1,4,5,3,3.15
Wang,json,json_18,3,2,4,5,4,3.7
Wang,json,json_19,2,1,3,4,4,2.9
Wang,json,json_20,2,1,3,4,2,2.5
Wang,json,json_21,2,2,3,4,3,2.85
Wang,json,json_22,3,2,3,5,4,3.45
Wang,json,json_23,3,4,2,4,4,3.3
Wang,json,json_24,2,4,3,4,4,3.35
Wang,json,json_25,2,4,5,4,5,4.05
Wang,json,json_26,2,2,3,5,4,3.25
Wang,json,json_27,4,2,2,4,1,2.6
Wang,json,json_28,2,4,3,5,4,3.55
Wang,json,json_29,2,3,4,5,2,3.25
Wang,json,json_30,2,4,3,1,4,2.75
Wang,json,json_31,3,4,4,3,4,3.6
Wang,json,json_32,4,1,3,4,5,3.5
Wang,json,json_33,1,1,4,5,3,2.95
Wang,json,json_34,3,4,5,5,4,4.25
Wang,json,json_35,1,2,4,4,3,2.9
Wang,json,json_36,1,3,3,4,4,3
Wang,json,json_37,1,1,3,3,4,2.5
Wang,json,json_38,3,4,5,5,5,4.45
Wang,json,json_39,2,3,3,4,5,3.4
Wang,json,json_40,4,2,4,5,5,4.1
Wang,json,json_41,1,1,3,5,3,2.7
Wang,json,json_42,3,5,2,4,4,3.45
Wang,json,json_43,2,2,5,4,2,3.15
Wang,json,json_44,1,3,3,4,2,2.6
Wang,json,json_45,2,3,4,4,4,3.45
Wang,json,json_46,2,3,4,5,4,3.65
Wang,json,json_47,1,3,4,5,2,3.05
Wang,json,json_48,4,1,3,4,5,3.5
Wang,json,json_49,1,2,4,5,4,3.3
Wang,json,json_50,2,2,4,5,2,3.1
Wang,json,json_51,1,2,5,5,4,3.55
Wang,json,json_52,3,1,3,5,2,2.9
Wang,json,json_53,2,3,5,5,2,3.5
Wang,json,json_54,1,2,5,5,3,3.35
Wang,json,json_55,2,3,5,5,2,3.5
Wang,json,json_56,3,2,5,4,3,3.55
